"Index","Date","Open","High","Low","Close","Volume","Adj.Close"
"1",2005-01-03,21.73,21.73,21.73,21.73,0,12.026121
"2",2005-01-04,21.48,21.48,21.48,21.48,0,11.887762
"3",2005-01-05,21.4,21.4,21.4,21.4,0,11.843484
"4",2005-01-06,21.450001,21.450001,21.450001,21.450001,0,11.871157
"5",2005-01-07,21.43,21.43,21.43,21.43,0,11.860091
"6",2005-01-10,21.51,21.51,21.51,21.51,0,11.904366
"7",2005-01-11,21.42,21.42,21.42,21.42,0,11.854555
"8",2005-01-12,21.49,21.49,21.49,21.49,0,11.893294
"9",2005-01-13,21.389999,21.389999,21.389999,21.389999,0,11.837953
"10",2005-01-14,21.49,21.49,21.49,21.49,0,11.893294
"11",2005-01-18,21.629999,21.629999,21.629999,21.629999,0,11.970774
"12",2005-01-19,21.469999,21.469999,21.469999,21.469999,0,11.882225
"13",2005-01-20,21.290001,21.290001,21.290001,21.290001,0,11.782605
"14",2005-01-21,21.23,21.23,21.23,21.23,0,11.749401
"15",2005-01-24,21.15,21.15,21.15,21.15,0,11.705126
"16",2005-01-25,21.219999,21.219999,21.219999,21.219999,0,11.743864
"17",2005-01-26,21.34,21.34,21.34,21.34,0,11.810281
"18",2005-01-27,21.35,21.35,21.35,21.35,0,11.815814
"19",2005-01-28,21.299999,21.299999,21.299999,21.299999,0,11.788141
"20",2005-01-31,21.48,21.48,21.48,21.48,0,11.887762
"21",2005-02-01,21.58,21.58,21.58,21.58,0,11.943105
"22",2005-02-02,21.639999,21.639999,21.639999,21.639999,0,11.976311
"23",2005-02-03,21.58,21.58,21.58,21.58,0,11.943105
"24",2005-02-04,21.790001,21.790001,21.790001,21.790001,0,12.059325
"25",2005-02-07,21.74,21.74,21.74,21.74,0,12.031653
"26",2005-02-08,21.76,21.76,21.76,21.76,0,12.042721
"27",2005-02-09,21.6,21.6,21.6,21.6,0,11.954171
"28",2005-02-10,21.700001,21.700001,21.700001,21.700001,0,12.009517
"29",2005-02-11,21.860001,21.860001,21.860001,21.860001,0,12.098064
"30",2005-02-14,21.889999,21.889999,21.889999,21.889999,0,12.11467
"31",2005-02-15,21.92,21.92,21.92,21.92,0,12.131272
"32",2005-02-16,21.93,21.93,21.93,21.93,0,12.136806
"33",2005-02-17,21.83,21.83,21.83,21.83,0,12.081462
"34",2005-02-18,21.84,21.84,21.84,21.84,0,12.086996
"35",2005-02-22,21.6,21.6,21.6,21.6,0,11.954171
"36",2005-02-23,21.68,21.68,21.68,21.68,0,11.998446
"37",2005-02-24,21.82,21.82,21.82,21.82,0,12.075928
"38",2005-02-25,22.01,22.01,22.01,22.01,0,12.181081
"39",2005-02-28,21.9,21.9,21.9,21.9,0,12.120201
"40",2005-03-01,21.969999,21.969999,21.969999,21.969999,0,12.158941
"41",2005-03-02,21.959999,21.959999,21.959999,21.959999,0,12.153407
"42",2005-03-03,21.98,21.98,21.98,21.98,0,12.164478
"43",2005-03-04,22.200001,22.200001,22.200001,22.200001,0,12.286233
"44",2005-03-07,22.200001,22.200001,22.200001,22.200001,0,12.286233
"45",2005-03-08,22.120001,22.120001,22.120001,22.120001,0,12.241961
"46",2005-03-09,21.950001,21.950001,21.950001,21.950001,0,12.147875
"47",2005-03-10,21.959999,21.959999,21.959999,21.959999,0,12.153407
"48",2005-03-11,21.889999,21.889999,21.889999,21.889999,0,12.11467
"49",2005-03-14,21.93,21.93,21.93,21.93,0,12.136806
"50",2005-03-15,21.83,21.83,21.83,21.83,0,12.081462
"51",2005-03-16,21.709999,21.709999,21.709999,21.709999,0,12.015052
"52",2005-03-17,21.75,21.75,21.75,21.75,0,12.037188
"53",2005-03-18,21.73,21.73,21.73,21.73,0,12.026121
"54",2005-03-21,21.620001,21.620001,21.620001,21.620001,0,11.965241
"55",2005-03-22,21.48,21.48,21.48,21.48,0,11.887762
"56",2005-03-23,21.379999,21.379999,21.379999,21.379999,0,11.832417
"57",2005-03-24,21.370001,21.370001,21.370001,21.370001,0,11.826883
"58",2005-03-28,21.379999,21.379999,21.379999,21.379999,0,11.832417
"59",2005-03-29,21.23,21.23,21.23,21.23,0,11.749401
"60",2005-03-30,21.459999,21.459999,21.459999,21.459999,0,11.876691
"61",2005-03-31,21.469999,21.469999,21.469999,21.469999,0,11.882225
"62",2005-04-01,21.360001,21.360001,21.360001,21.360001,0,11.82135
"63",2005-04-04,21.360001,21.360001,21.360001,21.360001,0,11.82135
"64",2005-04-05,21.459999,21.459999,21.459999,21.459999,0,11.876691
"65",2005-04-06,21.51,21.51,21.51,21.51,0,11.904366
